description,full-level,filling_level,Time,Ubidots_apilabel,Battery,Distance,Position,lat_long,change-in-volume,collection_peak,collection_off_peak,location_desc,location_area,lat,long,filling_level_map
Outside Starfish Deli,576.0,Medium,2024-12-13T03:52:55+11:00,24e124713d160183,83.0,374.0,0.0,"-35.705903, 150.178038",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.705903,150.178038,Medium (<600)
Clyde St next to toilet block. West near Boat ramp,588.0,Medium,2024-12-13T03:53:10+11:00,24e124713d162462,83.0,362.0,0.0,"-35.703022, 150.176834",0.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.703022,150.176834,Medium (<600)
North Park Batemans Bay BBQ Area #1,433.0,Medium,2024-12-13T03:55:41+11:00,24e124713d116321,84.0,517.0,0.0,"-35.702186, 150.180753",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.702186,150.180753,Medium (<600)
Outside Ray White Real Estate,578.0,Medium,2024-12-13T03:58:56+11:00,24e124713d161236,83.0,372.0,0.0,"-35.706039, 150.17779",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.706039,150.17779,Medium (<600)
Broulee - Coronation Dr Toilet #2,735.0,High,2024-12-13T03:31:42+11:00,24e124713d162620,68.0,215.0,0.0,"-35.843176, 150.177735",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.843176,150.177735,High (600 - 900)
Moruya Main Street Apex Park,569.0,Medium,2024-12-13T03:41:37+11:00,24e124713c452456,69.0,381.0,0.0,"-35.91166, 150.080391",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.91166,150.080391,Medium (<600)
AckWBB1 Pos 5,318.0,Medium,2024-12-13T03:50:09+11:00,24e124713c450816,68.0,632.0,0.0,"-35.91693, 150.08037",,,,Moruya - Central,Central,-35.91693,150.08037,Medium (<600)
North Head Drive opposite horses #3,547.0,Medium,2024-12-13T03:52:25+11:00,24e124713d118310,67.0,403.0,0.0,"-35.906267, 150.08712",,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.906267,150.08712,Medium (<600)
AckWBB2 Pos 5,315.0,Medium,2024-12-13T03:52:56+11:00,24e124713c452520,38.0,635.0,0.0,"-35.91729, 150.08077",-7.0,,,Moruya - Central,Central,-35.91729,150.08077,Medium (<600)
Broulee Surf Club #3,641.0,High,2024-12-13T03:55:20+11:00,24e124713d160833,60.0,309.0,0.0,"-35.858577, 150.176605",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.858577,150.176605,High (600 - 900)
AckWBB2 Pos 4,107.0,Low,2024-12-13T03:56:59+11:00,24e124713c450625,33.0,843.0,0.0,"-35.91728, 150.08075",0.0,,,Moruya - Central,Central,-35.91728,150.08075,Low (<300)
Outside Bridge Plaza Entry/Exit,512.0,Medium,2024-12-13T03:58:03+11:00,24e124713d160398,83.0,438.0,0.0,"-35.704506, 150.177201",1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.704506,150.177201,Medium (<600)
